#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,0.16546353999999996,A1_A3_frf_coh_18250,VISA
,,1,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,0.28248816000000004,A1_A3_frf_coh_5750,VISA
,,2,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,0.1311088,A1_A3_frf_coh_75000,VISA
,,3,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,0.13807284,A1_A3_frf_coh_95000,VISA
,,4,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-9.836631140000001,A1_A3_frf_mag_18250,VISA
,,5,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-8.6931511,A1_A3_frf_mag_5750,VISA
,,6,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,6.1959877000000025,A1_A3_frf_mag_75000,VISA
,,7,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,11.681501420000004,A1_A3_frf_mag_95000,VISA
,,8,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,18.275,A1_A3_frf_peak_18250,VISA
,,9,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,5.04,A1_A3_frf_peak_5750,VISA
,,10,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,74.43,A1_A3_frf_peak_75000,VISA
,,11,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,95.185,A1_A3_frf_peak_95000,VISA
,,12,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-2.8930058400000043,A1_A3_frf_ph_18250,VISA
,,13,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-93.70586191999999,A1_A3_frf_ph_5750,VISA
,,14,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-32.862807419999996,A1_A3_frf_ph_75000,VISA
,,15,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-2.60325666,A1_A3_frf_ph_95000,VISA
,,16,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,0.16972136,A1_A4_frf_coh_7500,VISA
,,17,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2020-01-23T22:24:00Z,-16.949699059999997,A1_A4_frf_mag_7500,VISA
