result,table,_start,_stop,_time,_value,_field,_measurement
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:35Z,5.637,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:37Z,5.715,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:39Z,5.761,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:41Z,5.735,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:43Z,5.872,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:45Z,5.57,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:47Z,5.494,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:49Z,5.962,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:53Z,5.695,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:55Z,5.647,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:57Z,5.877,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:01:59Z,5.4,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:01Z,5.545,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:05Z,5.314,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:07Z,5.703,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:09Z,5.861,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:11Z,5.825,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:13Z,5.805,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:15Z,6.084,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:17Z,5.819,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:19Z,5.477,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:21Z,5.885,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:23Z,6.16,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:25Z,5.621,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:27Z,5.882,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:29Z,5.577,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:31Z,5.75,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:35Z,6.128,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:37Z,5.553,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:02:39Z,201.743,Ch000_accrest_g,AMU
